id,worth in Billion USD,age,gender,Country,image,name,industry,company_name,GDP in Billions USD
9795,1.7,45.0,None,Russia,https://specials-images.forbesimg.com/imageserve/58a397fa31358e1a35ab6448/416x416.jpg?background=000000&cropX1=0&cropX2=739&cropY1=119&cropY2=859,Sergei Gordeev,Real Estate , real estate,1657.5539999999999
9379,1.7,47.0,None,Russia,https://specials-images.forbesimg.com/imageserve/5a80b1a131358e4955ad2be1/416x416.jpg?background=000000&cropX1=683&cropX2=3640&cropY1=32&cropY2=2988,Roman Trotsenko,Logistics ," transport, engineering, real estate",1657.5539999999999
7298,1.6,62.0,None,Russia,https://specials-images.forbesimg.com/imageserve/68f37747d89b672c527accbeab3bbd31/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=15&cropY2=756,Alexander Dzhaparidze,Energy , oil services,1657.5539999999999
1605,1.5,50.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/58a39a6831358e1a35ab6459/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=6&cropY2=750,Yuri Shefler,Food and Beverage , alcohol,1657.5539999999999
9343,1.4,68.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/58a26ad4a7ea431f3219745b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792,Pyotr Kondrashev,Manufacturing , investments,1657.5539999999999
3930,1.4,66.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/c4c9576de7cabcb986363f5b2963c9e5/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=27&cropY2=771,Yuri Kovalchuk,Finance and Investments ," banking, insurance, media",1657.5539999999999
2290,1.4,35.0,None,Russia,https://specials-images.forbesimg.com/imageserve/5a80a9b54bbe6f2652f53e96/416x416.jpg?background=000000&cropX1=769&cropX2=3201&cropY1=0&cropY2=2432,Kirill Shamalov,Energy , petrochemicals,1657.5539999999999
7965,1.2,55.0,Female,Russia,https://specials-images.forbesimg.com/imageserve/5a80a38831358e4955ad2ac1/416x416.jpg?background=000000&cropX1=0&cropX2=1693&cropY1=35&cropY2=1727,Elena Baturina,Construction & Engineering ," investments, real estate",1657.5539999999999
9127,1.2,52.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80a73c4bbe6f2652f53e56/416x416.jpg?background=000000&cropX1=268&cropX2=2388&cropY1=0&cropY2=2119,Gleb Fetisov,Telecom , investments,1657.5539999999999
3637,1.2,46.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80a91631358e4955ad2b41/416x416.jpg?background=000000&cropX1=65&cropX2=2805&cropY1=18&cropY2=2757,Igor Rybakov,Manufacturing , building materials,1657.5539999999999
3212,1.1,64.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80b4224bbe6f2652f53fd0/416x416.jpg?background=000000&cropX1=4&cropX2=2224&cropY1=9&cropY2=2228,Rustem Sulteev,Energy ," refinery, chemicals",1657.5539999999999
3594,1.0,54.0,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a90afa0a7ea434a0c2723f4/416x416.jpg?background=000000&cropX1=0&cropX2=3633&cropY1=218&cropY2=3851,Eduard Chukhlebov,Metals & Mining , metallurgy,1657.5539999999999
3055,17.9,74.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829,Charoen Sirivadhanabhakdi,Food and Beverage ," drinks, real estate",504.99300000000005
5454,4.1,88.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/af4ef0ebe7642629324ad254a854273f/416x416.jpg?background=000000&cropX1=143&cropX2=660&cropY1=19&cropY2=536,Jaran Chiaravanont,Diversified , diversified,504.99300000000005
1958,3.4,51.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/921717a472f456933b27aa6242dc34c2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=31&cropY2=775,Somphote Ahunai,Energy , energy,504.99300000000005
4489,2.0,63.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/57434b7d4bbe6f636185778a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=110&cropY2=854,Harald Link,Diversified , diversified,504.99300000000005
2495,2.0,65.0,,Thailand,https://specials-images.forbesimg.com/imageserve/592d7a004bbe6f1b730adefd/416x416.jpg?background=000000&cropX1=64&cropX2=354&cropY1=50&cropY2=340,Chuchat & Daonapa Petaumpai,Finance and Investments , motorcycle loans,504.99300000000005
5029,1.7,72.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/5ad8e3aaa7ea432fbc1f6ec7/416x416.jpg?background=000000&cropX1=276&cropX2=2445&cropY1=115&cropY2=2285,Prayudh Mahagitsiri,Food and Beverage ," coffee, shipping",504.99300000000005
4247,1.7,71.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/5ad8e2944bbe6f2310f30d01/416x416.jpg?background=000000&cropX1=882&cropX2=3223&cropY1=618&cropY2=2961,Wichai Thongtang,Real Estate , investments,504.99300000000005
1034,1.5,60.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/5af9bd6031358e612fb8f036/416x416.jpg?background=000000&cropX1=130&cropX2=760&cropY1=258&cropY2=887,Thongma Vijitpongpun,Real Estate , real estate,504.99300000000005
7344,1.2,66.0,Male,Thailand,https://specials-images.forbesimg.com/imageserve/59162c8931358e03e5590c24/416x416.jpg?background=000000&cropX1=1046&cropX2=3177&cropY1=126&cropY2=2256,Phongthep Chiaravanont,Diversified , diversified,504.99300000000005
1468,1.1,,None,Thailand,https://specials-images.forbesimg.com/imageserve/5ab292dd31358e79a28c6eda/416x416.jpg?background=000000&cropX1=356&cropX2=2309&cropY1=391&cropY2=2345,Manas Chiaravanond,Diversified , diversified,504.99300000000005
